BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Busca_Adaptativa,Data_Analise
7,(EF01CO07),CULTURA DIGITAL,(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,"Esta habilidade propõe que o aluno possa refletir sobre a importância de resguardar dados pessoais como nome, endereço, idade, onde estuda, quando da utilização de tecnologias como celular, tablets, em que não se pode compartilhar essas informações com qualquer pessoa.",900,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.68442565,68.4%,68.0%,Sim,2025-09-04 14:20:06
7,(EF01CO07),CULTURA DIGITAL,(EF01CO07) Conhecer as possibilidades de uso seguro das tecnologias computacionais para proteção dos dados pessoais e para garantir a própria segurança.,"Esta habilidade propõe que o aluno possa refletir sobre a importância de resguardar dados pessoais como nome, endereço, idade, onde estuda, quando da utilização de tecnologias como celular, tablets, em que não se pode compartilhar essas informações com qualquer pessoa.",901,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.68442565,68.4%,68.0%,Sim,2025-09-04 14:20:06
8,(EF02CO01),PENSAMENTO COMPUTACIONAL,"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",Um modelo é construído ao se identificar características essenciais de objetos. Modelos são importantes para classificar objetos e a escolha das características define os agrupamentos.,100,(EF01LP03),LÍNGUA PORTUGUESA,"(EF01LP03) Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.","É preciso consolidar a habilidade envolvendo a análise de unidades menores que a palavra, considerando que os alunos terão melhores condições de realizá-la após a compreensão da base alfabética. Para que essa análise seja possível, é preciso criar condições para a realização de comparação entre escritas: um procedimento a ser aprendido para potencializar a reflexão sobre o sistema de escrita. ",0.6429973,64.3%,64.0%,Sim,2025-09-04 14:20:06
8,(EF02CO01),PENSAMENTO COMPUTACIONAL,"(EF02CO01) Criar e comparar modelos (representações) de objetos, identificando padrões e atributos essenciais.",Um modelo é construído ao se identificar características essenciais de objetos. Modelos são importantes para classificar objetos e a escolha das características define os agrupamentos.,124,(EF01LP03),LÍNGUA PORTUGUESA,"(EF01LP03) Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.","É preciso consolidar a habilidade envolvendo a análise de unidades menores que a palavra, considerando que os alunos terão melhores condições de realizá-la após a compreensão da base alfabética. Para que essa análise seja possível, é preciso criar condições para a realização de comparação entre escritas: um procedimento a ser aprendido para potencializar a reflexão sobre o sistema de escrita. ",0.6429973,64.3%,64.0%,Sim,2025-09-04 14:20:06
9,(EF02CO02),PENSAMENTO COMPUTACIONAL,"(EF02CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, construídos como sequências com repetições simples (iterações definidas) com base em instruções preestabelecidas ou criadas, analisando como a precisão da instrução impacta na execução do algoritmo.","Usar linguagem oral, textual ou pictográfica para descrever algoritmos, percebendo a importância de descrevê-los com precisão para que possam ser executados por outras pessoas (ou máquinas). Os algoritmos aqui devem ser descritos através de sequências de instruções (preestabelecidas ou criadas pelos alunos) que podem ser repetidas um determinado número de vezes. Os ciclos de repetição devem ser simples, isto é, não devem conter outros ciclos.",283,(EF02LP25),LÍNGUA PORTUGUESA,"(EF02LP25) Identificar e reproduzir, em relatos de experimentos, entrevistas, verbetes de enciclopédia infantil, digitais ou impressos, a formatação e diagramação específica de cada um desses gêneros, inclusive em suas versões orais."," Proporcionar aos estudantes situações de leitura desses textos para que possam, com a mediação do professor e/ou com certa autonomia, perceber as regularidades desses gêneros textuais, sobretudo no que diz respeito à formatação e à diagramação desses textos. Nesse sentido, as atividades devem compor uma sequência didática que articule diferentes práticas de linguagem (ler, escutar, produzir por escrito ou oralmente) envolvendo os textos, para que os estudantes possam, de fato, ser capazes de reproduzir essas especificidades.  ",0.80069983,80.1%,80.0%,Não,2025-09-04 14:20:06
10,(EF02CO03),MUNDO DIGITAL,(EF02CO03) Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,"Para compreender o funcionamento dos computadores, é importante entender que uma máquina disponibiliza um conjunto de instruções (as operações) que, se realizadas em uma dada sequência (algoritmo), produzem algum resultado.",910,(EF05LP23),LÍNGUA PORTUGUESA,(EF05LP23) Comparar informações apresentadas em gráficos ou tabelas.,"Trata-se de ler e interpretar dados de gráficos e tabelas, compreendendo as diferenças e semelhanças de apresentação correspondentes a cada um. A habilidade supõe a leitura e interpretação dos dados de cada um dos gêneros mencionados, para, depois, realizar a comparação entre ambos. O grau de autonomia esperada no desenvolvimento desta habilidade deve ser articulado com o repertório suposto para o estudante no nível de ensino em foco. É preciso garantir que eles saibam realizar a interpretação dos dados de gráficos, tabelas e outros recursos que compõem, sobretudo, os textos do campo de estudo e pesquisa. É importante orientá-los para ler, por exemplo, o título dos gráficos (pois indicam o que representam os dados), as legendas (pois esclarecem quais são os dados apresentados), os eixos (para verificar qual será a articulação) e comparar as sínteses que as colunas/fatias representam. Feita a leitura de um dos recursos, a ideia é que façam a do segundo e, depois, que realizem a articulação dos dados de cada recurso, sem esquecer que o foco é a compreensão do problema abordado. A leitura colaborativa é uma atividade que potencializa esse trabalho.",0.6442828,64.4%,64.0%,Sim,2025-09-04 14:20:06
10,(EF02CO03),MUNDO DIGITAL,(EF02CO03) Identificar que máquinas diferentes executam conjuntos próprios de instruções e que podem ser usadas para definir algoritmos.,"Para compreender o funcionamento dos computadores, é importante entender que uma máquina disponibiliza um conjunto de instruções (as operações) que, se realizadas em uma dada sequência (algoritmo), produzem algum resultado.",955,(EF05MA25),MATEMÁTICA,"(EF05MA25) Realizar pesquisa envolvendo variáveis categóricas e numéricas, organizar dados coletados por meio de tabelas, gráficos de colunas, pictóricos e de linhas, com e sem uso de tecnologias digitais, e apresentar texto escrito sobre a finalidade da pesquisa e a síntese dos resultados.","O desenvolvimento pleno dessa habilidade implica em identificar que as variáveis nos estudos estatísticos são os valores que assumem determinadas características dentro de uma pesquisa. Variáveis categóricas ou qualitativas são aquelas que não podem ser expressas numericamente, pois relacionam situações como mês de nascimento, preferência por um time de futebol, marca de automóvel, preferência musical, entre outras. A habilidade também prevê a pesquisa com variáveis numéricas ou quantitativas. Esse tipo de variável pode ser classificado em discreta (se for relacionada a situações de contagem (por exemplo: número de revistas vendidas, quantidade de consultas médicas, número de filhos) ou contínua como a que se refere às situações de medida (por exemplo, massa de um produto, altura de pessoas, tempo de duração de um evento etc.). No 5o ano, a ampliação em relação ao 4º ano está na escolha de uma amostra maior de pessoas e na utilização da tecnologia para tabular e representar dados da pesquisa. ",0.64298487,64.3%,64.0%,Sim,2025-09-04 14:20:06
11,(EF02CO04),MUNDO DIGITAL,(EF02CO04) Diferenciar componentes físicos (hardware) e programas que fornecem as instruções (software) para o hardware.,"O objetivo da habilidade é mostrar aos alunos que em seu cotidiano existem dispositivos físicos (celulares, computadores, calculadoras, máquinas de costura etc.) que são controlados por algo que segue uma sequência de passos lógicos (um App do celular, uma pessoa com a calculadora, uma costureira) etc.",535,(EF15LP07),LÍNGUA PORTUGUESA,"(EF15LP07) Editar a versão final do texto, em colaboração com os colegas e com a ajuda do professor, ilustrando, quando for o caso, em suporte adequado, manual ou digital.","O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. Editar, nesse caso, consiste em dar os toques finais à versão final de um texto produzido no que diz respeito à sua estruturação e também nos elementos que o rodeiam, seja em suporte manual ou digital. Pode-se, ainda, pensar em critérios como o suporte em jogo, os recursos e as ferramentas de edição a serem utilizados, o grau de autonomia do estudante na realização da tarefa etc que envolvam o uso de ferramentas digitais.O foco da habilidade incide sobre os cuidados com a circulação/publicação do texto em suportes impressos ou digitais. ",0.6150656,61.5%,61.0%,Sim,2025-09-04 14:20:06
12,(EF02CO05),CULTURA DIGITAL,(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,"A proposta nessa habilidade é que o aluno verifique as diferentes características das tecnologias de informação e comunicação, identificando como funcionam, principais aspectos, bem como reconhecendo os diferentes usos no dia a dia das pessoas dentro e fora da escola.",899,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.6569351,65.7%,65.0%,Sim,2025-09-04 14:20:06
12,(EF02CO05),CULTURA DIGITAL,(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,"A proposta nessa habilidade é que o aluno verifique as diferentes características das tecnologias de informação e comunicação, identificando como funcionam, principais aspectos, bem como reconhecendo os diferentes usos no dia a dia das pessoas dentro e fora da escola.",900,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.6569351,65.7%,65.0%,Sim,2025-09-04 14:20:06
12,(EF02CO05),CULTURA DIGITAL,(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,"A proposta nessa habilidade é que o aluno verifique as diferentes características das tecnologias de informação e comunicação, identificando como funcionam, principais aspectos, bem como reconhecendo os diferentes usos no dia a dia das pessoas dentro e fora da escola.",901,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.6569351,65.7%,65.0%,Sim,2025-09-04 14:20:06
12,(EF02CO05),CULTURA DIGITAL,(EF02CO05) Reconhecer as características e usos das tecnologias computacionais no cotidiano dentro e fora da escola.,"A proposta nessa habilidade é que o aluno verifique as diferentes características das tecnologias de informação e comunicação, identificando como funcionam, principais aspectos, bem como reconhecendo os diferentes usos no dia a dia das pessoas dentro e fora da escola.",743,(EF04LP17),LÍNGUA PORTUGUESA,"(EF04LP17) Produzir jornais radiofônicos ou televisivos e entrevistas veiculadas em rádio, TV e na internet, orientando-se por roteiro ou texto e demonstrando conhecimento dos gêneros jornal falado/televisivo e entrevista.","A habilidade prevê tanto a produção oral quanto a oralização de textos escritos.  Recomenda-se a elaboração de projetos com foco na produção/revisão colaborativa, inseridos na produção de jornais editados para circular em blogs e rádios comunitárias da escola. Além disso, sugere-se planejar situações de pesquisa de fatos de relevância da comunidade escolar e/ou de interesse social, bem como a coleta de dados e informações. Há, nesse caso, uma oportunidade de integração com o componente curricular Arte, a fim de trabalhar habilidades relacionadas ao padrão entonacional, as expressões faciais e corporais necessárias à fala de âncoras e locutores de notícias. ",0.6519368,65.2%,65.0%,Sim,2025-09-04 14:20:06
13,(EF02CO06),CULTURA DIGITAL,(EF02CO06) Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,"Nesta habilidade temos a perspectiva de trazer um panorama sobre os cuidados com a segurança ao usar dispositivos como celular, tablets, computadores dentre outros (roubo de dados em dispositivos físicos, rastro de dados online quando da utilização de jogos por exemplo etc.).",899,(EF05LP17),LÍNGUA PORTUGUESA,"(EF05LP17) Produzir roteiro para edição de uma reportagem digital sobre temas de interesse da turma, a partir de buscas de informações, imagens, áudios e vídeos na internet, de acordo com as convenções do gênero e considerando a situação comunicativa e o tema/assunto do texto.","Esta habilidade prevê a produção de textos para reportagem digital, o que envolve organizar as ideias e utilizar as informações coletadas por pesquisa para depois escrevê-las. É possível prever a abordagem de temáticas relevantes socialmente e do interesse do estudante, como eventos esportivos, espaços de lazer disponíveis para crianças na região. Ações a serem realizadas visando o desenvolvimento sustentável da cidade, o papel da tecnologia digital no município, a disponibilidade de equipamentos públicos e seu uso pelos cidadãos, a condição do transporte público local, entre outras. A habilidade pode se desdobrar no estudo do gênero e da situação comunicativa em que a produção irá circular, na análise de ambientes digitais como: sites, blogs e páginas de jornais on-line para repertoriar a produção e roteiro.",0.65791327,65.8%,65.0%,Sim,2025-09-04 14:20:06
