BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Busca_Adaptativa,Data_Analise
5,(EF69CO05),PENSAMENTO COMPUTACIONAL,"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.","Definir problemas é uma habilidade muito importante, pois é o primeiro passo da solução. A definição de um problema se dá identificando quais são os tipos de entradas necessárias (insumos/ informações) e qual o tipo da saída. Como a solução (algoritmo) deve ser genérica, se define um problema em termos dos tipos das entradas e saída. O objetivo aqui NÃO é propor soluções de problemas, e sim definir o que é necessário para resolvê-los e qual será o resultado esperado.",1504,(EF89LP16),PORTUGUÊS,"(EF89LP16) Analisar a modalização realizada em textos noticiosos e argumentativos, por meio das modalidades apreciativas, viabilizadas por classes e estruturas gramaticais como adjetivos, locuções adjetivas, advérbios, locuções adverbiais, orações adjetivas e adverbiais, orações relativas restritivas e explicativas etc., de maneira a perceber a apreciação ideológica sobre os fatos noticiados ou as posições implícitas ou assumidas.","Analisar o modo como algumas classes gramaticais são utilizadas para modalizar o discurso nos textos argumentativos. Os modalizadores indicam as intenções discursivas e são, portanto, os elementos que indicam os argumentos de quem produz o texto. Observar como o autor do texto utiliza esses modalizadores para dar ênfase ao ponto de vista que quer defender.",0.70545363,70.5%,70.0%,Sim,2025-09-04 15:01:39
5,(EF69CO05),PENSAMENTO COMPUTACIONAL,"(EF69CO05) Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados, e estabelecendo a definição de problema como uma relação entre entrada e saída.","Definir problemas é uma habilidade muito importante, pois é o primeiro passo da solução. A definição de um problema se dá identificando quais são os tipos de entradas necessárias (insumos/ informações) e qual o tipo da saída. Como a solução (algoritmo) deve ser genérica, se define um problema em termos dos tipos das entradas e saída. O objetivo aqui NÃO é propor soluções de problemas, e sim definir o que é necessário para resolvê-los e qual será o resultado esperado.",57,(EF06MA03X),MATEMÁTICA,"(EF06MA03X) Resolver e elaborar situações- problemas que envolvam cálculos (mentais ou escritos, exatos ou aproximados) com números naturais, e/ou expressões numéricas, por meio de estratégias variadas, com compreensão dos processos neles envolvidos com ou sem uso de calculadora para conferência.","Utilizar atividades enigmáticas, jogos e atividades desafiadoras que envolvam diferentes estratégias para resolução dos problemas. Estimular o aluno a elaborar um problema e propor para o colega resolver. Incentivar os alunos com situações-problema simples na forma oral e/ou de imagens a realizar cálculos mentais aproximados.  Exemplos: (a + a = 16),  (a + b = 15),  (a x b = ?).",0.70413816,70.4%,70.0%,Sim,2025-09-04 15:01:39
6,(EF69CO06),PENSAMENTO COMPUTACIONAL,"(EF69CO06) Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando as semelhanças e diferenças entre eles, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros) para permitir o tratamento de todos os casos de forma genérica.","Idealmente, um algoritmo é uma solução genérica: ele resolve várias instâncias de um problema. Por exemplo, um algoritmo que calcula a média aritmética de 2 números resolve este problema para qualquer par de números (que são as instâncias do problema). Para descrever um algoritmo de forma genérica, é necessário dar nomes às entradas do algoritmo. Esses nomes são chamados de variáveis ou parâmetros do algoritmo.",57,(EF06MA03X),MATEMÁTICA,"(EF06MA03X) Resolver e elaborar situações- problemas que envolvam cálculos (mentais ou escritos, exatos ou aproximados) com números naturais, e/ou expressões numéricas, por meio de estratégias variadas, com compreensão dos processos neles envolvidos com ou sem uso de calculadora para conferência.","Utilizar atividades enigmáticas, jogos e atividades desafiadoras que envolvam diferentes estratégias para resolução dos problemas. Estimular o aluno a elaborar um problema e propor para o colega resolver. Incentivar os alunos com situações-problema simples na forma oral e/ou de imagens a realizar cálculos mentais aproximados.  Exemplos: (a + a = 16),  (a + b = 15),  (a x b = ?).",0.6959063,69.6%,69.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1555,(EF69LP35BX),PORTUGUÊS,"(EF69LP35BX) Produzir, revisar e editar textos voltados para a divulgação do conhecimento e de dados e resultados de pesquisas, tendo em vista seus contextos de produção, que podem envolver a disponibilização de informações e conhecimentos em circulação em um formato mais acessível para um público específico ou a divulgação de conhecimentos advindos de pesquisas bibliográficas, experimentos científicos e estudos de campo realizados.","Após conhecer o gênero texto de divulgação científica, solicitar a produção, ressaltando a importância de respeitar suas especificidades. Planejar a pesquisa de um tema científico com coleta de dados relevantes. Fazer uma síntese das informações coletadas. Produzir um texto a partir da síntese elaborada. Revisar o texto produzido e fazer as correções necessárias. Sugestão: Fazer uma produção a partir da reescrita de um texto científico.",0.7198254,72.0%,71.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1251,(EF69LP39BX),PORTUGUÊS,(EF69LP39BX) Selecionar e organizar as informações passadas pelo entrevistado (tomar nota e/ou gravar) para usá-las de acordo com os objetivos estabelecidos.,"Apresentar o tema para que o aluno possa definir o entrevistado, elaborar um roteiro e realizar a entrevista. Após a entrevista, o aluno deverá organizar as informações e apresentá-las.",0.7165139,71.7%,71.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1405,(EF69LP39BX),PORTUGUÊS,(EF69LP39BX) Selecionar e organizar as informações passadas pelo entrevistado (tomar nota e/ou gravar) para usá-las de acordo com os objetivos estabelecidos.,"Apresentar o tema para que o aluno possa definir o entrevistado, elaborar um roteiro e realizar a entrevista. Após a entrevista, o aluno deverá organizar as informações e apresentá-las.",0.7165139,71.7%,71.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1284,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.7100324,71.0%,71.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1373,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.7100324,71.0%,71.0%,Sim,2025-09-04 15:01:39
7,(EF69CO07),MUNDO DIGITAL,"(EF69CO07) Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","O processo de transmissão de dados envolve em dividir a informação em pedaços para que ela seja mais facilmente enviada através da rede de comunicação. Esses pedaços são transmitidos através de caminhos compostos por diferentes equipamentos. Finalmente, a informação é remontada no destino. Ao ser dividida, problemas que ocorram na transmissão em alguns pedaços da informação podem ser solucionados pelo reenvio de pedaços faltantes, corrompidos, ou fora de ordem.",1492,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.7100324,71.0%,71.0%,Sim,2025-09-04 15:01:39
8,(EF69CO08),MUNDO DIGITAL,"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.","O gerenciamento de dados é frequentemente realizado através do conceito de arquivo. Neste contexto, os arquivos são criados considerando alguma lógica interna e armazenados em memória secundária. Posteriormente, esses arquivos podem ser recarregados a fim de seus dados serem utilizados ou mesmo editados. Finalmente, os arquivos podem ser compactados para diminuir o espaço ocupado na memória secundária.",146,(EF67LP36),PORTUGUÊS,"(EF67LP36) Utilizar, ao produzir texto, recursos de coesão referencial (léxica e pronominal) e sequencial e outros recursos expressivos adequados ao gênero textual.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade de suas ideias, sequência lógica e compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.6630898,66.3%,66.0%,Sim,2025-09-04 15:01:39
8,(EF69CO08),MUNDO DIGITAL,"(EF69CO08) Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.","O gerenciamento de dados é frequentemente realizado através do conceito de arquivo. Neste contexto, os arquivos são criados considerando alguma lógica interna e armazenados em memória secundária. Posteriormente, esses arquivos podem ser recarregados a fim de seus dados serem utilizados ou mesmo editados. Finalmente, os arquivos podem ser compactados para diminuir o espaço ocupado na memória secundária.",147,(EF67LP36),PORTUGUÊS,"(EF67LP36) Utilizar, ao produzir texto, recursos de coesão referencial (léxica e pronominal) e sequencial e outros recursos expressivos adequados ao gênero textual.","Apresentar textos para serem destacados os recursos de coesão neles existentes, identificando sua importância para a continuidade de suas ideias, sequência lógica e compreensão. Realizar fixação através de textos com lacunas para que os alunos possam utilizar esses recursos, completando, assim, o sentido do texto.",0.6630898,66.3%,66.0%,Sim,2025-09-04 15:01:39
9,(EF69CO09),CULTURA DIGITAL,"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.","Nesta habilidade é importante que os alunos possam vivenciar, discutir e refletir sobre o comportamento ao se comunicar em ambiente digital, principalmente na internet mas não limitada a ela(por exemplo também em aplicativos de conversa).",1284,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.77882457,77.9%,77.0%,Sim,2025-09-04 15:01:39
9,(EF69CO09),CULTURA DIGITAL,"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.","Nesta habilidade é importante que os alunos possam vivenciar, discutir e refletir sobre o comportamento ao se comunicar em ambiente digital, principalmente na internet mas não limitada a ela(por exemplo também em aplicativos de conversa).",1373,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.77882457,77.9%,77.0%,Sim,2025-09-04 15:01:39
9,(EF69CO09),CULTURA DIGITAL,"(EF69CO09) Compreender os conceitos de paralelismo, concorrência e armazenamento/ processamento distribuídos.","Nesta habilidade é importante que os alunos possam vivenciar, discutir e refletir sobre o comportamento ao se comunicar em ambiente digital, principalmente na internet mas não limitada a ela(por exemplo também em aplicativos de conversa).",1492,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.77882457,77.9%,77.0%,Sim,2025-09-04 15:01:39
10,(EF69CO10),CULTURA DIGITAL,(EF69CO10) Entender como é a estrutura e funcionamento da internet.,"Importante nesta habilidade considerar a reflexão sobre as perspectivas do ser humano e o consumo de tecnologia, como quando compramos novos celulares em substituição a aparelhos mais antigos, ou uma televisão, dentre outros, ou seja, nossos hábitos. Quantos recursos são necessários para se produzir uma tecnologia?",1284,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.70658094,70.7%,70.0%,Sim,2025-09-04 15:01:39
10,(EF69CO10),CULTURA DIGITAL,(EF69CO10) Entender como é a estrutura e funcionamento da internet.,"Importante nesta habilidade considerar a reflexão sobre as perspectivas do ser humano e o consumo de tecnologia, como quando compramos novos celulares em substituição a aparelhos mais antigos, ou uma televisão, dentre outros, ou seja, nossos hábitos. Quantos recursos são necessários para se produzir uma tecnologia?",1373,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.70658094,70.7%,70.0%,Sim,2025-09-04 15:01:39
10,(EF69CO10),CULTURA DIGITAL,(EF69CO10) Entender como é a estrutura e funcionamento da internet.,"Importante nesta habilidade considerar a reflexão sobre as perspectivas do ser humano e o consumo de tecnologia, como quando compramos novos celulares em substituição a aparelhos mais antigos, ou uma televisão, dentre outros, ou seja, nossos hábitos. Quantos recursos são necessários para se produzir uma tecnologia?",1492,(EF89LP02),PORTUGUÊS,"(EF89LP02) Analisar diferentes práticas (curtir, compartilhar, comentar, curar etc.) e textos pertencentes a diferentes gêneros da cultura digital (meme, gif , comentário, charge digital etc.) envolvidos no trato com a informação e opinião, de forma a possibilitar uma presença mais crítica e ética nas redes.","Proporcionar aos alunos uma análise de diferentes práticas da cultura digital, levando-os a refletir sobre a necessidade de uma postura ética e respeitosa em seus posicionamentos.",0.70658094,70.7%,70.0%,Sim,2025-09-04 15:01:39
