bncc_indice,bncc_codigo,bncc_objetivo,curriculo_indice,curriculo_codigo,similaridade
13,(EF02CO06),(EF02CO06) Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,901,(EF05LP17),0.65791327
13,(EF02CO06),(EF02CO06) Reconhecer os cuidados com a segurança no uso de dispositivos computacionais.,688,(EF15LP07),0.65053
14,(EF03CO01),"(EF03CO01) Associar os valores 'verdadeiro' e 'falso' a sentenças lógicas que dizem respeito a situações do dia a dia, fazendo uso de termos que indicam negação.",897,(EF05LP27),0.7441182
15,(EF03CO02),"(EF03CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração.",281,(EF02LP16BX),0.7393025
15,(EF03CO02),"(EF03CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração.",897,(EF05LP27),0.73698455
15,(EF03CO02),"(EF03CO02) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples com condição (iterações indefinidas), para resolver problemas de forma independente e em colaboração.",522,(EF15LP12),0.7347718
16,(EF03CO03),"(EF03CO03) Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções.",166,(EF01MA08),0.78299904
17,(EF03CO04),(EF03CO04) Relacionar o conceito de informação com o de dado.,899,(EF05LP17),0.67036664
17,(EF03CO04),(EF03CO04) Relacionar o conceito de informação com o de dado.,900,(EF05LP17),0.67036664
17,(EF03CO04),(EF03CO04) Relacionar o conceito de informação com o de dado.,901,(EF05LP17),0.67036664
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,920,(EF05LP24),0.6990988
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,921,(EF05LP24),0.6990988
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,922,(EF05LP24),0.6990988
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,806,(EF04MA10),0.6957983
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,376,(EF02MA07),0.69460356
18,(EF03CO05),(EF03CO05) Compreender que dados são estruturados em formatos específicos dependendo da informação armazenada.,535,(EF15LP07),0.6935928
19,(EF03CO06),"(EF03CO06) Reconhecer que, para um computador realizar tarefas, ele se comunica com o mundo exterior com o uso de interfaces físicas (dispositivos de entrada e saída).",688,(EF15LP07),0.65661776
20,(EF03CO07),(EF03CO07) Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.,899,(EF05LP17),0.7056375
20,(EF03CO07),(EF03CO07) Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.,900,(EF05LP17),0.7056375
20,(EF03CO07),(EF03CO07) Utilizar diferentes navegadores e ferramentas de busca para pesquisar e acessar informações.,901,(EF05LP17),0.7056375
21,(EF03CO08),(EF03CO08) Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.,173,(EF01LP23),0.6832336
21,(EF03CO08),(EF03CO08) Usar ferramentas computacionais em situações didáticas para se expressar em diferentes formatos digitais.,688,(EF15LP07),0.6801017
22,(EF03CO09),(EF03CO09) Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.,899,(EF05LP17),0.7323438
22,(EF03CO09),(EF03CO09) Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.,900,(EF05LP17),0.7323438
22,(EF03CO09),(EF03CO09) Reconhecer o potencial impacto do compartilhamento de informações pessoais ou de seus pares em meio digital.,901,(EF05LP17),0.7323438
23,(EF04CO01),"(EF04CO01) Reconhecer objetos do mundo real e/ou digital que podem ser representados através de matrizes que estabelecem uma organização na qual cada componente está em uma posição definida por coordenadas, fazendo manipulações simples sobre estas representações.",162,(EF01MA22X),0.77169514
24,(EF04CO02),"(EF04CO02) Reconhecer objetos do mundo real e/ou digital que podem ser representados através de registros que estabelecem uma organização na qual cada componente é identificado por um nome, fazendo manipulações sobre estas representações.",535,(EF15LP07),0.76472884
24,(EF04CO02),"(EF04CO02) Reconhecer objetos do mundo real e/ou digital que podem ser representados através de registros que estabelecem uma organização na qual cada componente é identificado por um nome, fazendo manipulações sobre estas representações.",270,(EF02LP23),0.76131505
25,(EF04CO03),"(EF04CO03) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples e aninhadas (iterações definidas e indefinidas), para resolver problemas de forma independente e em colaboração.",522,(EF15LP12),0.7604648
25,(EF04CO03),"(EF04CO03) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências e repetições simples e aninhadas (iterações definidas e indefinidas), para resolver problemas de forma independente e em colaboração.",911,(EF35LP31),0.76045346
26,(EF04CO04),"(EF04CO04) Entender que para guardar, manipular e transmitir dados deve-se codificá-los de alguma forma que seja compreendida pela máquina (formato digital).",535,(EF15LP07),0.69036996
27,(EF04CO05),"(EF04CO05) Codificar diferentes informações para representação em computador (binária, ASCII, atributos de pixel, como RGB etc.).",688,(EF15LP07),0.6709751
28,(EF04CO06),"(EF04CO06) Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.).",899,(EF05LP17),0.6809884
28,(EF04CO06),"(EF04CO06) Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.).",900,(EF05LP17),0.6809884
28,(EF04CO06),"(EF04CO06) Usar diferentes ferramentas computacionais para criação de conteúdo (textos, apresentações, vídeos etc.).",901,(EF05LP17),0.6809884
29,(EF04CO07),"(EF04CO07) Demonstrar postura ética nas atividades de coleta, transferência, guarda e uso de dados.",146,(EF01CI04),0.5809815
30,(EF04CO08),(EF04CO08) Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.,899,(EF05LP17),0.67236733
30,(EF04CO08),(EF04CO08) Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.,900,(EF05LP17),0.67236733
30,(EF04CO08),(EF04CO08) Reconhecer a importância de verificar a confiabilidade das fontes de informações obtidas na Internet.,901,(EF05LP17),0.67236733
31,(EF05CO01),"(EF05CO01) Reconhecer objetos do mundo real e/ou digital que podem ser representados através de listas que estabelecem uma organização na qual há um número variável de itens dispostos em sequência, fazendo manipulações simples sobre estas representações.",578,(EF03MA28),0.76065403
32,(EF05CO02),"(EF05CO02) Reconhecer objetos do mundo real e digital que podem ser representados através de grafos que estabelecem uma organização com uma quantidade variável de vértices conectados por arestas, fazendo manipulações simples sobre estas representações.",951,(EF05MA17),0.71140504
33,(EF05CO03),"(EF05CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",932,(EF05LP07),0.6586611
33,(EF05CO03),"(EF05CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",162,(EF01MA22X),0.6543386
33,(EF05CO03),"(EF05CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",897,(EF05LP27),0.65346885
33,(EF05CO03),"(EF05CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",777,(EF04MA03),0.65135026
33,(EF05CO03),"(EF05CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",910,(EF05LP23),0.65096354
34,(EF05CO04),"(EF05CO04) Criar e simular algoritmos representados em linguagem oral, escrita ou pictográfica, que incluam sequências, repetições e seleções condicionais para resolver problemas de forma independente e em colaboração.",293,(EF02LP01X),0.78264296
35,(EF05CO05),"(EF05CO05) Identificar os componentes principais de um computador (dispositivos de entrada/saída, processadores e armazenamento).",535,(EF15LP07),0.6915649
36,(EF05CO06),(EF05CO06) Reconhecer que os dados podem ser armazenados em um dispositivo local ou remoto.,535,(EF15LP07),0.63608646
37,(EF05CO07),(EF05CO07) Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,535,(EF15LP07),0.64810216
37,(EF05CO07),(EF05CO07) Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,899,(EF05LP17),0.64182544
37,(EF05CO07),(EF05CO07) Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,900,(EF05LP17),0.64182544
37,(EF05CO07),(EF05CO07) Reconhecer a necessidade de um sistema operacional para a execução de programas e gerenciamento do hardware.,901,(EF05LP17),0.64182544
38,(EF05CO08),(EF05CO08) Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.,899,(EF05LP17),0.7041783
38,(EF05CO08),(EF05CO08) Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.,900,(EF05LP17),0.7041783
38,(EF05CO08),(EF05CO08) Acessar as informações na Internet de forma crítica para distinguir os conteúdos confiáveis de não confiáveis.,901,(EF05LP17),0.7041783
39,(EF05CO09),(EF05CO09) Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.,899,(EF05LP17),0.6610211
39,(EF05CO09),(EF05CO09) Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.,900,(EF05LP17),0.6610211
39,(EF05CO09),(EF05CO09) Usar informações considerando aplicações e limites dos direitos autorais em diferentes mídias digitais.,901,(EF05LP17),0.6610211
40,(EF05CO10),(EF05CO10) Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.,899,(EF05LP17),0.66181254
40,(EF05CO10),(EF05CO10) Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.,900,(EF05LP17),0.66181254
40,(EF05CO10),(EF05CO10) Expressar-se crítica e criativamente na compreensão das mudanças tecnológicas no mundo do trabalho e sobre a evolução da sociedade.,901,(EF05LP17),0.66181254
41,(EF05CO011),(EF05CO011) Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.,899,(EF05LP17),0.70474625
41,(EF05CO011),(EF05CO011) Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.,900,(EF05LP17),0.70474625
41,(EF05CO011),(EF05CO011) Identificar a adequação de diferentes tecnologias computacionais na resolução de problemas.,901,(EF05LP17),0.70474625
42,(EF15CO01),"(EF15CO01) Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade).",100,(EF01LP03),0.70230836
42,(EF15CO01),"(EF15CO01) Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade).",124,(EF01LP03),0.70230836
42,(EF15CO01),"(EF15CO01) Identificar as principais formas de organizar e representar a informação de maneira estruturada (matrizes, registros, listas e grafos) ou não estruturada (números, palavras, valores verdade).",711,(EF04LP03),0.70031154
43,(EF15CO02),"(EF15CO02) Construir e simular algoritmos, de forma independente ou em colaboração, que resolvam problemas simples e do cotidiano com uso de sequências, seleções condicionais e repetições de instruções.",572,(EF03MA08),0.7472389
44,(EF15CO03),"(EF15CO03) Realizar operações de negação, conjunção e disjunção sobre sentenças lógicas e valores 'verdadeiro' e 'falso'.",966,(EF05MA04),0.70230365
45,(EF15CO04),"(EF15CO04) Aplicar a estratégia de decomposição para resolver problemas complexos, dividindo esse problema em partes menores, resolvendo-as e combinando suas soluções.",166,(EF01MA08),0.765576
46,(EF15CO05),"(EF15CO05) Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.",535,(EF15LP07),0.75718963
46,(EF15CO05),"(EF15CO05) Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.",920,(EF05LP24),0.7546262
46,(EF15CO05),"(EF15CO05) Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.",921,(EF05LP24),0.7546262
46,(EF15CO05),"(EF15CO05) Codificar a informação de diferentes formas, entendendo a importância desta codificação para o armazenamento, manipulação e transmissão em dispositivos computacionais.",922,(EF05LP24),0.7546262
47,(EF15CO06),"(EF15CO06) Conhecer os componentes básicos de dispositivos computacionais, entendendo os princípios de seu funcionamento.",688,(EF15LP07),0.7101542
48,(EF15CO07),(EF15CO07) Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.,688,(EF15LP07),0.65854573
48,(EF15CO07),(EF15CO07) Conhecer o conceito de Sistema Operacional e sua importância na integração entre software e hardware.,535,(EF15LP07),0.65030646
49,(EF15CO08),"(EF15CO08) Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas.",266,(EF02LP24),0.67730653
49,(EF15CO08),"(EF15CO08) Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas.",999,(EF12LP10P2),0.674371
49,(EF15CO08),"(EF15CO08) Reconhecer e utilizar tecnologias computacionais para pesquisar e acessar informações, expressar-se crítica e criativamente e resolver problemas.",472,(EF35LP15),0.67165995
50,(EF15CO09),"(EF15CO09) Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.",20,(EF01CI03),0.69080615
