BNCC_Indice,BNCC_Codigo,BNCC_Eixo,BNCC_Objetivo,BNCC_Exemplos,Curriculo_Indice,Curriculo_Codigo,Curriculo_Eixo,Curriculo_Objetivo,Curriculo_Exemplos,Similaridade,Similaridade_Percentual,Nota_Corte_Usada,Data_Analise
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",144,(EI03EO03),"O EU, O OUTRO E O NÓS","(EI03EO03) Ampliar as relações interpessoais, desenvolvendo atitudes de participação e cooperação.","Participar de brincadeiras de faz de conta, compartilhando propósitos comuns, representando diferentes papéis e convidando outros colegas para participar. Levar em consideração o ponto de vista de seus colegas. Perceber a expressão de sentimentos e emoções de seus companheiros. Explorar os espaços da instituição, do bairro e da cidade conhecendo ambientes, fatos históricos e interagindo com diferentes pessoas e contextos sociais. Relacionar-se com crianças da mesma idade e com outras, colaborando em situações diversas. Participar de situações de interações e brincadeiras agindo de forma solidária e colaborativa. Compartilhar objetos e espaços com crianças e professores(as) manifestando curiosidade e autonomia. Participar de conversas com professores(as) e crianças. Participar de situações em que é instruída a levar objetos ou transmitir recados em outros locais da instituição. Realizar a guarda de seus pertences no local adequado. Participar de jogos, conduzidos pelas crianças ou pelos professores(as), seguindo regras. Esperar a vez quando está realizando atividades em grupo. Participar de brincadeiras coletivas, assumindo papéis e criando enredos com os colegas.",0.6483554,64.8%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",238,(EI02EF07ME01),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO",(EI02EF07ME01) Conhecer e identificar as gravuras que compõem as rotinas da turma.,"• Manusear e explorar diferentes portadores textuais como: livros, revistas, jornais, cartazes, cadernos de receitas, entre outros.   • Conhecer portadores textuais buscando usá-los segundo suas funções sociais.   • Manusear diferentes portadores textuais tendo os adultos como referência.   • Conversar com outras pessoas e familiares sobre o uso social de diferentes portadores textuais.   • Folhear livros contando suas histórias para seus colegas.   • Interpretar gravuras, ilustrações, fotos, símbolos (ícones) no seu dia a dia, placas de trânsito e banheiro feminino e masculino.   • Reconhecer os combinados e rotinas por meio de gravuras.   • Escolher livros de literatura e “lê-los” à sua maneira.",0.6462799,64.6%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",269,(EI02EO04),"O EU, O OUTRO E O NÓS","(EI02EO04) Comunicar-se com os colegas e os adultos, buscando compreendê-los e fazendo-se compreender.      ","• Participar de situações de brincadeira buscando compartilhar enredos e cenários. • Usar expressões faciais para apoiar seus relatos de situações vividas ou sua opinião diante dos questionamentos sobre uma história. • Expressar e nomear sensações, sentimentos, desejos e ideias que vivencia e observa no outro por meio de diferentes linguagens. • Expressar suas ideias, sentimentos e emoções por meio da dança, da música ou da arte. • Relatar acontecimentos que vivencia, que ouve e que vê. • Descrever situações ou fatos vividos utilizando palavras novas e frases cada vez mais complexas. • Reconhecer na oralidade o próprio nome e dos colegas em diferentes situações. • Transmitir recados a colegas e profissionais da instituição para desenvolver a oralidade e a organização de ideias. • Estabelecer relações com os colegas através da brincadeira, imitação e outras situações. • Demonstrar atitude de escuta e/ou atenção visual para compreender o outro. • Cooperar com os colegas e adultos.",0.64456224,64.5%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",227,(EI02EF03ME01),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI02EF03ME01) Ouvir a leitura de histórias e outros textos, acompanhando, com orientação do adulto leitor, a presença dos diferentes índices gráficos que compõem a obra (capa, título, autor, páginas, texto, ilustração, entre outros).","• Ouvir, visualizar e apreciar histórias e outros textos literários: poemas, parlendas, contos, lendas, fábulas, músicas, etc.   • Identificar a história pela capa do livro.   • Manusear diferentes portadores textuais e ouvir sobre seus usos sociais.   • Observar ilustrações dos livros buscando identificar sua relação com o texto lido.   • Reconhecer as ilustrações/figuras de um livro.   • Perceber que imagens representam ideias.   • Diferenciar desenho de letra/escrita.   • Participar de jogos que relacionem imagem e palavras.   • Fazer uso de diferentes técnicas, materiais e recursos gráficos para produzir ilustrações.   • Presenciar e participar de situações significativas de leitura e escrita.   • Perceber características da língua escrita: orientação e direção da escrita.   • Ouvir e contar histórias oralmente, com base em imagens ou temas sugeridos.   • Participar de momentos em que o(a) professor(a) realiza leitura apontada.   • Vivenciar situações de leitura e escrita tendo o(a) professor(a) como escriba de listas, bilhetes, recados, convites, cantigas, receitas e histórias (escrevendo em roda junto com as crianças) para compreender a função social das mesmas.",0.6443124,64.4%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",100,(EI03EF05),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI03EF05) Recontar histórias ouvidas para produção de reconto escrito, tendo o(a) professor(a) como escriba.","Compreender que a escrita representa a fala. Perceber a diferença entre dizer e ditar. Participar de situações coletivas de criação ou reconto de histórias. Recontar histórias, identificando seus personagens e elementos. Criar e contar histórias ou acontecimentos oralmente, com base em imagens ou temas sugeridos. Produzir textos coletivos, tendo o(a) professor(a) como escriba. Relatar situações diversas para outras crianças e familiares para ampliar suas capacidades de oralidade. Escutar relatos de outras crianças e respeitar sua vez de escuta e questionamento. Participar da elaboração e reconto de histórias e textos. Participar da elaboração de histórias observando o(a) professor(a) registrar a história recontada. Criar histórias orais e escritas (desenhos), em situações com função social significativa. Participar de momentos de criação de símbolos e palavras com o intuito de identificar lugares, situações e elementos da rotina. Narrar partes da história ao participar da construção de roteiros de vídeos ou encenações.",0.64340615,64.3%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",103,(EI03EF05ME03),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI03EF05ME03) Recontar, coletivamente, a história ouvida, reinventando os finais de histórias, tendo o professor como escriba.","Compreender que a escrita representa a fala. Perceber a diferença entre dizer e ditar. Participar de situações coletivas de criação ou reconto de histórias. Recontar histórias, identificando seus personagens e elementos. Criar e contar histórias ou acontecimentos oralmente, com base em imagens ou temas sugeridos. Produzir textos coletivos, tendo o(a) professor(a) como escriba. Relatar situações diversas para outras crianças e familiares para ampliar suas capacidades de oralidade. Escutar relatos de outras crianças e respeitar sua vez de escuta e questionamento. Participar da elaboração e reconto de histórias e textos. Participar da elaboração de histórias observando o(a) professor(a) registrar a história recontada. Criar histórias orais e escritas (desenhos), em situações com função social significativa. Participar de momentos de criação de símbolos e palavras com o intuito de identificar lugares, situações e elementos da rotina. Narrar partes da história ao participar da construção de roteiros de vídeos ou encenações.",0.64307344,64.3%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",28,(EI03EF07),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI03EF07) Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégias de observação gráfica e/ou de leitura.","Manusear e explorar diferentes portadores textuais como: livros, revistas, jornais, cartazes, outros. Expressar suas hipóteses sobre “para que servem” os diferentes gêneros textuais como: receitas, poesias, bilhetes, convites e outros. Conhecer e compreender, progressivamente, a função social de diferentes suportes textuais: livros, revistas, jornais, cartazes e outros. Conversar com outras pessoas e familiares sobre o uso social de diferentes portadores textuais. Fazer uso de receitas em situações de brincadeiras de culinária. Buscar informações sobre algum tema a ser estudado em livros ou revistas com textos informativos, fazendo uso da leitura das fotos ou legendas para se apropriar de informações. Manusear diferentes portadores textuais imitando adultos. Compreender a escrita por meio do manuseio de livros, revistas e outros portadores de textos e da participação em diversas situações nas quais seus usos se fazem necessários. Reconhecer as letras do alfabeto em diversas situações da rotina escolar. Registrar o nome e outros textos significativos realizando tentativas de escrita. Compreender como se organiza a escrita em nossa cultura: de cima para baixo, da esquerda para a direita. Identificar símbolos que representam ideias, locais, objetos e momentos da rotina: a marca do biscoito preferido, placa do banheiro, cartaz de rotina do dia etc. Observar o registro textual tendo o(a) professor(a) como escriba. Acompanhar a leitura apontada do texto realizada pelo(a) professor(a).",0.64304185,64.3%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",72,(EI03EO06ME01),"O EU, O OUTRO E O NÓS","(EI03EO06ME01) Reconhecer que pertence a uma família, a um grupo, a uma escola e a uma comunidade.","Participar de brincadeiras que estimulam a relação entre o adulto/criança e criança/criança. Compreender e respeitar as diversas estruturas familiares. Reconhecer pessoas que fazem parte de sua comunidade, conversar com elas sobre o que fazem. Conhecer e se relacionar com crianças e pessoas de outros grupos sociais, seja por meio de situações presenciais, seja por outros meios de comunicação. Conhecer diferentes povos e suas culturas por meio de pesquisas, filmes, fotos, entrevistas, relatos e outros. Conhecer modos de vida urbana e rural. Ouvir relatos de familiares e pessoas de mais idade sobre outras épocas históricas. Conhecer objetos antigos e de outras culturas, como: ferro de passar roupa, escovão, fogão a lenha, lamparina e outros. Participar de diferentes eventos culturais para conhecer novos elementos como: dança, música, vestimentas, ornamentos e outros. Identificar as funções desempenhadas por diferentes profissionais. Conhecer e identificar profissões de pessoas que fazem parte de sua comunidade, como o padeiro, o fazendeiro, o pescador etc.",0.6429436,64.3%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",96,(EI03EF03ME02),"ESCUTA, FALA, PENSAMENTO E IMAGINAÇÃO","(EI03EF03ME02) Relacionar imagens à escrita, levantando hipóteses sobre as mesmas, por meio de livros com temas voltados aos contos e histórias da cultura local e regional.","Relacionar os personagens da história ouvida ou conhecida tendo o(a) professor(a) como escriba. Folhear livros e escolher aqueles que mais gostam para ler em momentos individuais. Manipular, escolher e ler livros de literatura, a sua maneira. Escolher e contar histórias, a sua maneira, para outras crianças. Escolher livros de sua preferência explorando suas ilustrações e imagens para imaginar as histórias. Folhear livros e outros materiais tendo como referência o modo como outras pessoas fazem. Relacionar fatos da história contada ou lida, com situações do dia a dia. Participar coletivamente da leitura e escrita de listas, bilhetes, recados, convites, cantigas, textos, receitas e outros, tendo o(a) professor(a) como leitor e escriba. Criar e contar histórias oralmente, com base em imagens ou temas sugeridos. Manusear diferentes portadores textuais e ouvir sobre seus usos sociais. Proporcionar momentos de pseudoleitura tendo como parâmetro o comportamento leitor do(a) professor(a). Perceber que imagens e gestos representam ideias. Perceber as características da língua escrita: orientação e direção da escrita. Recontar e dramatizar, a seu modo, histórias contadas. Reconhecer as ilustrações/figuras de um livro. Diferenciar desenho de letra/escrita, relacionando à função social. Levantar hipóteses sobre gêneros textuais veiculados em portadores conhecidos, recorrendo a estratégia de observação gráfica.",0.6426226,64.3%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",181,(EI01EO04),"O EU, O OUTRO E O NÓS","(EI01EO04) Comunicar necessidades, desejos e emoções, utilizando gestos, balbucios, palavras.","Comunicar-se com seu professor(a) e colegas fazendo uso de diferentes formas de expressão, buscando contato e atenção durante as situações de interação. Comunicar desejos e necessidades utilizando, gradativamente, gestos e movimentos, como: estender os braços pedindo colo, apontar para o banheiro quando sente vontade de urinar, colocar a mão na barriga para manifestar que está com fome, apontar para pessoas e objetos reconhecendo-os e outros. Sorrir e oralizar em resposta a uma estimulação feita por outro sujeito. Interagir com adultos e sentir-se confiante nas situações de cuidados pessoais. ",0.64219743,64.2%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",221,(EI02EF01ME01),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI02EF01ME01) Comunicar-se e interagir oralmente, ampliando gradualmente seu vocabulário para formular perguntas, iniciar diálogos e ter atenção para escutar o outro.","• Expressar ideias e sentimentos respondendo e formulando perguntas, comunicando suas experiências, descrevendo lugares, pessoas e objetos com mediação do professor para a organização do pensamento.   • Participar de variadas situações de comunicação utilizando diversas linguagens.   • Nomear objetos, pessoas, fotografias, gravuras.   • Combinar palavras para se expressar usando verbos e adjetivos.   • Interagir com outras pessoas por meio de situações comunicativas mediadas pelo(a) professor(a).   • Interagir com outras crianças fazendo uso da linguagem oral e tentando se fazer entender.   • Em roda ou nas brincadeiras, usar seu vocabulário por meio de músicas, narrativas, poemas, histórias, contos, parlendas, conversas e brincadeiras para desenvolver sua capacidade de comunicação.   • Levantar hipóteses sobre situações de aprendizagem, oralizando ideias e opiniões.   • Expressar suas ideias, sentimentos e emoções por meio de diferentes linguagens como: a dança, o desenho, a mímica, a música, a linguagem oral e a escrita.   • Falar e escutar atentamente em situações do dia a dia para interagir socialmente.   • Utilizar expressões de cortesia: cumprimentar, agradecer, despedir-se e outros.",0.6418456,64.2%,55.00000000000001%,2025-09-02 15:50:02
6,(EI03CO06),PENSAMENTO COMPUTACIONAL,(EI03CO06) Compreender decisões em dois estados (verdadeiro ou falso).,"Computação plugada:
1) Criar um jogo digital a partir de um conjunto de perguntas com base em uma história, personagens ou
tema de interesse da turma e avaliar as perguntas respondendo verdadeiro ou falso. Como sugestão de
ferramentas para criação da atividade, temos:
(i) Wordwall (https://wordwall.net/pt), e
(ii) Jamboard (https://jamboard.google.com/).
Computação desplugada:
1) Criar um conjunto de perguntas com base em uma história, personagens ou tema de interesse da turma.
Cada criança recebe duas cartas, uma verde (verdadeiro) e uma vermelha (falso). Para cada pergunta, a
criança apresenta o resultado da sua avaliação e, em conjunto, discutem os erros e acertos.
2) Realizar a brincadeira popular de “morto e vivo” (e suas variações) em que, ao invés de morto e vivo,
sejam utilizadas frases passíveis de ser julgadas como verdadeiras (vivo) ou falsas (morto).
3) “Verdadeiro ou Falso” / “Isso no meu mundo” (https://lifes.dc.ufscar.br/computar/verdadeiro-ou-falso/).""",35,(EI03EF09ME01),"ESCUTA, FALA, PENSAMENTOS E IMAGINAÇÃO","(EI03EF09ME01) Produzir textos coletivamente, tendo o professor como escriba, grafando em letra maiúscula de imprensa (letra bastão), ampliando as finalidades da escrita e identificando os destinatários dos textos.","Vivenciar experiências que possibilitem perceber a presença da escrita em diferentes ambientes. Escrever o próprio nome (Primeiro nome), praticando a escrita espontânea em situações em que isso é necessário. Com auxílio da ficha no 1º semestre, sem auxílio da ficha ao final do 2º semestre. Reconhecer o próprio nome dentro do conjunto de nomes da turma, em situações em que isso se faça necessário. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, atingindo o nível pré-silábico no 1º semestre. Apresentar níveis de avanço com relação às hipóteses da evolução da escrita, podendo atingir o nível silábico (SVS) ao final do 2º semestre. Vivenciar jogos e brincadeiras que envolvam a escrita (forca, bingos, cruzadinhas, etc.) e utilizar materiais escritos em brincadeiras de faz de conta. Escolher palavras-chave das parlendas para fazer comparação entre as palavras: palavra maior/menor, número de letras/sílabas, quantas vezes abre a boca para falar as palavras, letra inicial/final. Participar de jogos que relacionam imagens e palavras. Brincar com a sonoridade das palavras, explorando-as e estabelecendo relações com sua representação escrita. Utilizar suportes de escrita diversos para desenhar e escrever espontaneamente (cartolina, sulfite, livros, revistinhas e outros). Registrar suas ideias utilizando desenhos, símbolos e palavras, escritas à sua maneira. Realizar tentativas de escrita com recursos variados e em diferentes suportes. Participar   coletivamente   da   leitura   e escrita de listas, bilhetes, recados, convites, cantigas,  textos,  receitas  e  outros,  tendo o(a) professor(a) como leitor e escriba. Ter contato com o alfabeto em diferentes situações: brincadeiras, jogos e outros. Em situações de escrita verbalizar suas hipóteses sobre a escrita. Participar   de   atividades   coletivas   ou individuais    que    envolvam    letra/desenho/palavra. Em roda de histórias, parlendas, quadri- nhas,   músicas, etc, identificando início e final do texto, marcando e apontando. Em rodas de manipulação de livros, roda de  histórias,  rodas  de  poesias,  parlendas, identificar localização do título nos textos e livros. Com  palavras  que  fazem  parte  do  seu repertório (parlendas, poesias. quadrinhas, músicas)  com  a  intervenção  do  professor fazer  a  análise  graficamente  as  palavras (número de letras⁄sílabas, letra inicial⁄final).  Participar  de  atividades  lúdicas  (lista, chamadas, nome de histórias, etc) usando a escrita  espontânea  para  comunicar  suas ideias e opiniões aos colegas e professores(as). Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Participar  m  sala  de  atividades  onde utilize letras, números e desenhos em suas representações gráficas, progressivamente. Em sala participar de atividades (chama- da, ficha de nome, bingo de nomes, jogo da memória,etc) identificando o próprio nome e dos colegas para o reconhecimento dos mesmos em situações da rotina escolar.",0.6393721,63.9%,55.00000000000001%,2025-09-02 15:50:02
